Address,Deposited WSG,Unlock Date,Last Deposit Date,,,,,,,,,
0x0041e3406BD02Ca22EE537C304189Af655C56F37,9318921975.95,2024-05-16 5:47,2022-05-27 5:47,,,,,,,,,
0x0059f714026DD53c7CD288629192B4FE8f418910,1142599296.18,2023-07-23 18:55,2022-07-28 18:55,,,,,,,,,
0x0060d73603Af0BF950e0266b6bC450657092a4C2,41098704771.00,2023-12-24 19:48,2023-02-27 19:48,,,,,,,,,
0x0064B4282b475F5C00eCF6A00f069ED81a50f8e0,53858327365.71,2024-06-04 17:58,2022-06-15 17:58,,,,,,,,,
0x0073C059d480740A0485D13d2c18518f75fb89f0,3117171661.15,2024-08-19 7:59,2022-08-30 7:59,,,,,,,,,
0x00913BE9D85a9bc36Cf374aF4d1DB1bb3c458BA2,407575752.47,2023-01-04 9:16,2022-10-06 9:16,,,,,,,,,
0x009887c724577eea7430A5e464ed6CA55d6D2668,499999.00,2024-07-21 13:32,2022-08-01 13:32,,,,,,,,,
0x00A790813e775064160ee55790ba2e589D83ADe3,7233890.51,2024-05-28 18:56,2022-06-08 18:56,,,,,,,,,
0x00BAc2d0e452Ab8edc7894d78EF6439Ae9606CC3,68769728.50,2023-02-09 10:55,2022-08-13 10:55,,,,,,,,,
0x00C09069b55c96BA40f73FF6063464c3DA2DfbC5,0.00,2022-11-15 15:17,2022-11-15 15:17,,,,,,,,,
0x00F56B810e9690Ef3ab7927279c49de674BeE8c5,735458681.80,2024-12-24 21:49,2023-01-04 21:49,,,,,,,,,
0x00e0F7897AcF2b1867A1262508fFaD376A4cEc29,867916622.71,2024-07-23 18:45,2022-08-03 18:45,,,,,,,,,
0x01011708307Da74612e102ce06f288f3824D5c6B,2504662247.38,2022-08-23 10:56,2022-05-25 10:56,,,,,,,,,
0x0107E40B02Fb5942b28435faeB52BEc62B253D27,0.00,2024-01-18 6:10,2024-01-18 6:10,,,,,,,,,
0x010F046083445687e5258EeFa267D88108FE7221,2524356587.76,2022-10-05 19:32,2022-08-06 19:32,,,,,,,,,
0x010a5D3993d17745f22bED8d86A4b45B2c143dEF,942021909081.64,2025-01-23 17:29,2023-02-03 17:29,,,,,,,,,
0x012e9740f5C29128ab727108Fffd4316eF3577D1,1288289512.24,2024-11-16 17:46,2022-11-27 17:46,,,,,,,,,
0x013D7B88CbCCfaE173a34559DE1C4378b8De0b7d,87293126.83,2024-09-03 6:39,2022-09-14 6:39,,,,,,,,,
0x0154238b8Dd8b12fbEb1C90adEaEeF4380AbEb9B,5659295806.00,2024-09-04 21:03,2022-09-15 21:03,,,,,,,,,
0x01C2FFDb0cB6EF543e5783964518e9A8cbAF9B28,10089573827.69,2022-08-30 18:34,2022-07-31 18:34,,,,,,,,,
0x01E9805633E1765bba94947A45774DB7327c3320,1163473092.47,2024-09-03 10:24,2022-09-14 10:24,,,,,,,,,
0x01c131B105FDC58D3eCa526453aD1b705Fe78CB0,9122834837.99,2025-07-09 21:54,2023-07-20 21:54,,,,,,,,,
0x01cbe2167F70f96023b5b6DE4Db1Bd4770546e12,958400814.60,2023-04-18 16:55,2023-03-19 16:55,,,,,,,,,
0x01dF2Cd5D6549E4266bD3f740F99162CfCd52B17,0.00,2024-01-26 20:24,2024-01-26 20:24,,,,,,,,,
0x01e628c322269Bc6e060ceAc6F71D9AFd546A16B,27962529324.61,2024-07-24 1:01,2022-08-04 1:01,,,,,,,,,
0x022Baf8E77252e20d96e706a68866CDe2e44e11E,0.00,2023-01-23 13:14,2023-01-23 13:14,,,,,,,,,
